"ObjectID","ClassificationID","AATID","AATCN","Classification","SubClassification","SubClassification2","SubClassification3"
"56234","6","300266304","AAT","Rare Book","","",""
"56235","6","300266304","AAT","Rare Book","","",""
"56236","6","300266304","AAT","Rare Book","","",""
"56237","6","300266304","AAT","Rare Book","","",""
"56238","6","300266304","AAT","Rare Book","","",""
"56240","6","300266304","AAT","Rare Book","","",""
"56241","6","300266304","AAT","Rare Book","","",""
"56242","6","300266304","AAT","Rare Book","","",""
"56243","6","300266304","AAT","Rare Book","","",""
"56244","7","300041273","AAT","Print","","",""
"56245","6","300266304","AAT","Rare Book","","",""
"56246","6","300266304","AAT","Rare Book","","",""
"56247","6","300266304","AAT","Rare Book","","",""
"56248","6","300266304","AAT","Rare Book","","",""
"56249","0","2","YCBA","(-)","","",""
"56250","7","300041273","AAT","Print","","",""
"56251","6","300266304","AAT","Rare Book","","",""
"56252","6","300266304","AAT","Rare Book","","",""
"56253","37","300026739","AAT","Broadside","","",""
"56254","6","300266304","AAT","Rare Book","","",""
"56256","6","300266304","AAT","Rare Book","","",""
"56258","6","300266304","AAT","Rare Book","","",""
"56259","7","300041273","AAT","Print","","",""
"56260","7","300041273","AAT","Print","","",""
"56261","7","300041273","AAT","Print","","",""
"56262","12","300028569","AAT","Manuscript","","",""
"56265","0","2","YCBA","(-)","","",""
"56266","0","2","YCBA","(-)","","",""
"56267","0","2","YCBA","(-)","","",""
"56268","0","2","YCBA","(-)","","",""
"56269","0","2","YCBA","(-)","","",""
"56270","0","2","YCBA","(-)","","",""
"56271","0","2","YCBA","(-)","","",""
"56272","12","300028569","AAT","Manuscript","","",""
"56273","39","300026030","AAT","Document","","",""
"56274","12","300028569","AAT","Manuscript","","",""
"56275","12","300028569","AAT","Manuscript","","",""
"56276","7","300041273","AAT","Print","","",""
"56277","7","300041273","AAT","Print","","",""
"56279","0","2","YCBA","(-)","","",""
"56280","7","300041273","AAT","Print","","",""
"56281","7","300041273","AAT","Print","","",""
"56282","7","300041273","AAT","Print","","",""
"56283","7","300041273","AAT","Print","","",""
"56284","7","300041273","AAT","Print","","",""
"56285","7","300041273","AAT","Print","","",""
"56286","7","300041273","AAT","Print","","",""
"56287","7","300041273","AAT","Print","","",""
"56288","6","300266304","AAT","Rare Book","","",""
"56289","6","300266304","AAT","Rare Book","","",""
"56290","24","300198412","AAT","Reference book","","",""
"56291","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56292","27","300027221","AAT","Poster","","",""
"56293","27","300027221","AAT","Poster","","",""
"56294","27","300027221","AAT","Poster","","",""
"56295","27","300027221","AAT","Poster","","",""
"56296","27","300027221","AAT","Poster","","",""
"56297","27","300027221","AAT","Poster","","",""
"56298","27","300027221","AAT","Poster","","",""
"56299","4","300046300","AAT","Photograph","","",""
"56300","4","300046300","AAT","Photograph","","",""
"56301","4","300046300","AAT","Photograph","","",""
"56302","4","300046300","AAT","Photograph","","",""
"56303","4","300046300","AAT","Photograph","","",""
"56304","4","300046300","AAT","Photograph","","",""
"56305","4","300046300","AAT","Photograph","","",""
