"ID","objRightID","ConstituentID","NameID","DisplayOrder","RoleID","TableID","Prefix","Suffix","RoletypeID","Active","Displayed","DisplayName"
"36700","412","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36701","413","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36702","414","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4828","415","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4829","416","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4885","417","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"5266","418","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6241","419","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6242","420","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6243","421","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6245","422","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4967","423","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"15012","424","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"35284","425","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"47446","426","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"50661","427","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"50662","428","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"50663","429","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"52288","430","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"10712","444","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"864","445","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9971","446","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9461","447","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9462","448","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9463","449","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9464","450","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6471","451","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6472","452","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"6473","453","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9465","454","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9466","455","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"9263","456","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2700","457","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3355","458","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1399","459","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4169","460","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4170","461","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4171","462","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4172","463","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4173","464","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
