"ID","Rlink"
"64278","http://collections.britishart.yale.edu/vufind/Record/3664157"
"64279","http://collections.britishart.yale.edu/vufind/Record/3664158"
"64280","http://collections.britishart.yale.edu/vufind/Record/3664159"
"64282","http://collections.britishart.yale.edu/vufind/Record/3664160"
"64283","http://collections.britishart.yale.edu/vufind/Record/3664161"
"64285","http://collections.britishart.yale.edu/vufind/Record/3664162"
"64287","http://collections.britishart.yale.edu/vufind/Record/3664163"
"64288","http://collections.britishart.yale.edu/vufind/Record/3664164"
"64289","http://collections.britishart.yale.edu/vufind/Record/3664165"
"64291","http://collections.britishart.yale.edu/vufind/Record/3664166"
"64292","http://collections.britishart.yale.edu/vufind/Record/3664167"
"64293","http://collections.britishart.yale.edu/vufind/Record/3664168"
"64294","http://collections.britishart.yale.edu/vufind/Record/3664169"
"64295","http://collections.britishart.yale.edu/vufind/Record/3664170"
"64296","http://collections.britishart.yale.edu/vufind/Record/3664171"
"64297","http://collections.britishart.yale.edu/vufind/Record/3664172"
"64305","http://collections.britishart.yale.edu/vufind/Record/3664173"
"64306","http://collections.britishart.yale.edu/vufind/Record/3664174"
"64307","http://collections.britishart.yale.edu/vufind/Record/3664175"
"64308","http://collections.britishart.yale.edu/vufind/Record/3664176"
"64309","http://collections.britishart.yale.edu/vufind/Record/3664177"
"64310","http://collections.britishart.yale.edu/vufind/Record/3664178"
"64311","http://collections.britishart.yale.edu/vufind/Record/3664179"
"64314","http://collections.britishart.yale.edu/vufind/Record/3664180"
"64315","http://collections.britishart.yale.edu/vufind/Record/3664181"
"64316","http://collections.britishart.yale.edu/vufind/Record/3664182"
"64317","http://collections.britishart.yale.edu/vufind/Record/3664183"
"64318","http://collections.britishart.yale.edu/vufind/Record/3664184"
"64319","http://collections.britishart.yale.edu/vufind/Record/3664185"
"64322","http://collections.britishart.yale.edu/vufind/Record/3664186"
"64323","http://collections.britishart.yale.edu/vufind/Record/3664187"
"64325","http://collections.britishart.yale.edu/vufind/Record/3664188"
